time_iso8601,forks_cumulative
2022-02-22 00:00:00+00:00,3
2022-02-23 00:00:00+00:00,5
2022-02-25 00:00:00+00:00,6
2022-02-26 00:00:00+00:00,7
2022-03-09 00:00:00+00:00,8
2022-03-12 00:00:00+00:00,9
2022-04-04 00:00:00+00:00,10
2022-04-10 00:00:00+00:00,11
2022-07-19 00:00:00+00:00,12
2022-07-24 00:00:00+00:00,13
2022-08-05 00:00:00+00:00,14
2022-08-09 00:00:00+00:00,15
2022-09-15 00:00:00+00:00,16
2022-09-19 00:00:00+00:00,17
2022-12-02 00:00:00+00:00,18
2022-12-23 00:00:00+00:00,19
2023-01-02 00:00:00+00:00,20
2023-01-04 00:00:00+00:00,21
2023-01-16 00:00:00+00:00,22
2023-01-29 00:00:00+00:00,23
2023-03-28 00:00:00+00:00,24
2023-05-28 00:00:00+00:00,25
2024-01-03 00:00:00+00:00,26
2024-04-16 00:00:00+00:00,27
2024-04-17 00:00:00+00:00,28
